METHOD;SALT;ROUNDS;PASSWORD;HASH;CMD
sha-256;;;2;$5$CPQBVwNi7sAP7q8f$G10qTDvgdsGOdMSnEwfOslwqCdWF43laYdHEovlvXO4;mkpasswd 2 -m sha-256
sha-256;;999;f;$5$rounds=1000$5FNnikYdW3hkiauB$S/g.zaC3VQj19DOJXFVVd/6WOpiWtVURNQuy8SQ.5l/;mkpasswd f -m sha-256 -R 999
sha-256;;1000;v;$5$rounds=1000$M2jMhQ/7yFfdAWYL$jt9kBQrTjyxuu6NSWObN3ZFGdu4rUTVkUb193Csk/1A;mkpasswd v -m sha-256 -R 1000
sha-256;;5000;O;$5$ObfxxWLINHa08TYg$0yM6C5RlFl.splBCrH4beIqWTUrA5Nf6V3HTSzmPfr0;mkpasswd O -m sha-256 -R 5000
sha-256;;6666;8;$5$rounds=6666$7g8PHwBrpdlm7vA/$DcggkSISWV9u0xzUsri17KiPySKJfWmAQTkDIpf/HF.;mkpasswd 8 -m sha-256 -R 6666
sha-256;;99999;d;$5$rounds=99999$kJibX64a.hmU8vuv$P6GU0YWZkIbpLZlN857a.bNswKvyTzyJDwC54lVtZp/;mkpasswd d -m sha-256 -R 99999
sha-256;DBbN7fv6;;2;$5$DBbN7fv6$IqkNzo63hPnfziPe8gk3LocDRsR6L.Tuj9mBo6NMQR4;mkpasswd 2 -m sha-256 -S DBbN7fv6
sha-256;tS7LP7GZ;1000;J;$5$rounds=1000$tS7LP7GZ$kQOj3mg8mGTuT7/ThM/EBInbTNbj0F9VBO9QZLJdch2;mkpasswd J -m sha-256 -S tS7LP7GZ -R 1000
sha-256;S/SpXnA/;5000;S;$5$rounds=5000$S/SpXnA/$FooYbfSHAzBptjrOvDdIWa7RhIdory1US4rtOAJSXuC;mkpasswd S -m sha-256 -S S/SpXnA/ -R 5000
sha-256;XRO1giLe;6666;v;$5$rounds=6666$XRO1giLe$KnyzzANfUxZHH0JOOQQqlP7/g.YLfmowGt78z3CEwP9;mkpasswd v -m sha-256 -S XRO1giLe -R 6666
sha-256;EyBCGojc;99999;E;$5$rounds=99999$EyBCGojc$EkATnPqAxWQr.LNb2hx5PtDY6VPAR5Henbps4t3QW1A;mkpasswd E -m sha-256 -S EyBCGojc -R 99999
sha-256;mdE93MF1X;;R;$5$mdE93MF1X$IRuyY8d9VZ1pUqG/mOqPBpCEr5YA4/ED6ggrN08oz01;mkpasswd R -m sha-256 -S mdE93MF1X
sha-256;CmzcOzLPy;1000;w;$5$rounds=1000$CmzcOzLPy$W4T6cMFBG2M3cdHkuX4/LkoVaR5nstmLYvstnZj.9kB;mkpasswd w -m sha-256 -S CmzcOzLPy -R 1000
sha-256;rxX1rtSQo;5000;j;$5$rounds=5000$rxX1rtSQo$BWi4D0TeIyc6NVQeNrXm7fNwTAJfQyKlr9UhrmZZd7/;mkpasswd j -m sha-256 -S rxX1rtSQo -R 5000
sha-256;fdPGLoEvH;6666;f;$5$rounds=6666$fdPGLoEvH$kZE575FcdTjGescavyXoIp5YUUL0xIT7FKyGC21QP53;mkpasswd f -m sha-256 -S fdPGLoEvH -R 6666
